"Restaurant.name","offense_date","citstzip","staddress","comments","ins_date","X","seq_01","citation"
"Royal Palace Restaurant","10/4/2013","West Dennis, MA 02670","369 Route 28","","05-Dec-13",NA,NA,""
"Sophia's Pizza & Sports Bar","10/4/2013","Springfield, MA 01104","463 Breckwood Blvd","","07-Oct-13",NA,NA,""
"Toby Keiths Bar and Grille","10/4/2013","Foxboro Ma 02035","Patriot Place","","02-Dec-13",NA,NA,""
"American Legion","10/5/2013","SPRINGFIELD, MA 01101","EAST STREET","","17-Dec-13",NA,1,"M9658001"
"Between the Uprights At 2nd Street","10/5/2013","Turners Falls, MA 01376","23 Avenue A","","21-Nov-13",NA,1,"R1422397"
"Creegan's Pub","10/5/2013","Worcester, MA 01604","65 Green Street","","26-Feb-14",NA,NA,""
"Prime","10/5/2013","Boston, Ma.","","","21-Oct-13",NA,NA,""
"Ric's Cafe","10/5/2013","Stafford Springs, CT 06076","328 East St","","29-Apr-14",NA,NA,""
"Splash","10/5/2013","Salisbury, MA 01952","3 Broadway","","11-Oct-13",NA,NA,""
"The Woodshed Lounge","10/5/2013","Brewster, MA 02631","1993 Main Street","","23-Dec-13",NA,NA,""
"Victoria Stattion","10/5/2013","Salem, MA 01970","Wharf St - Pickering Wharf","","24-Oct-13",NA,NA,""
"American Legion","10/6/2013","Raynham, MA","Uknown","","04-Nov-14",NA,1,"M3191027"
"CASK N FLAGON","10/6/2013","MARSHFIELD, MA 02050","804 PLAIN STREET","","28-Oct-14",NA,1,"R2377297"
"Defendant's Car","10/6/2013","xxx","xxx","","05-Nov-13",NA,NA,""
"Forties","10/6/2013","Leominster, MA 01453","1030 Central St","","23-May-14",NA,NA,""
"Hookslide Kelly's","10/6/2013","Lowell, MA 01852","19 Merrimack St","","18-Nov-13",NA,NA,""
"KING'S BOWL OF DEDHAM","10/6/2013","DEDHAM, MA 02026","600 LEGACY PLACE","","18-Dec-13",NA,NA,""
"O'Conners","10/6/2013","Foxboro","Unknown","","05-Dec-13",NA,NA,""
"Olive Garden","10/6/2013","Framingham, MA 01701","One Worcester Road","","30-Jan-14",NA,NA,""
"PONDEROSA","10/6/2013","ACUSHNET, MA","UNKNOWN","","14-Jan-14",NA,NA,""
"Private","10/6/2013",NA,NA,"","25-Oct-13",NA,NA,""
"Private Res.","10/6/2013","xxxx","xxxx","","25-Oct-13",NA,NA,""
"The Lampost","10/6/2013","Oak Bluffs, MA 02557","6 Circuit Ave","","08-May-14",NA,NA,""
"Golden China","10/7/2013","Canton, Ma 02121","599 Washington Street","","22-Oct-14",NA,NA,""
"Mr. Dooley's Olde Irish Country Pub","10/8/2013","Wrentham, MA 02093","303 Shears St","","06-Dec-13",NA,NA,""
"The Dot Tavern","10/8/2013","Dorchester, MA 02125","840 Dorchester Ave","","25-Oct-13",NA,NA,""
"Zenner's Pub","10/8/2013","PIttsfield, MA 01201","Tyler St.","","09-Oct-13",NA,NA,""
"Polish National Alliance of Dudley, Inc.","10/9/2013","Dudley, MA 01571","West Main Street","","05-Sep-14",NA,NA,""
"Chili's Grill and Bar","10/10/2013","Lowell Ma 01852","26 Reiss Ave","","07-Jan-14",NA,1,"M8280799"
"pvt. residence","10/10/2013","xxx","xxx","","17-Apr-15",NA,NA,""
"Starlight Theatre & Cafe","10/10/2013","Nantucket, MA 02554","1 North Union Street","","19-Nov-13",NA,NA,""
"The Ale House","10/10/2013","Amesbury, Ma 01913","Main Street","","21-Nov-13",NA,NA,""
"John Harvard's Brewery & Ale House","10/11/2013","Cambridge, MA 02138","33 Dunster Street,","","19-Nov-13",NA,NA,""
"Mr. Dooley's Old Irish Pub","10/11/2013","Cohasset, MA 02025","9 Depot Ct","","12-Nov-13",NA,NA,""
"American Legion","10/12/2013","Woburn, MA. 01801","x","","24-Jan-14",NA,1,"R0524599"
"Christopher's","10/12/2013","Cambridge, MA","1920 Mass. Ave.","","10-Nov-14",NA,1,"R0892204"
"Enzo","10/12/2013","Provincetown, MA 02657","186 Commercial Street","","04-Nov-13",NA,NA,""
"Paddy O's","10/12/2013","Boston, MA 02108","33 Union Street #A","","22-Jul-15",NA,NA,""
"Private Residence","10/12/2013","xxx","xxx","","25-Nov-13",NA,NA,""
"The Harp","10/12/2013","Boston, MA 02114","85 Causeway Street","","04-Mar-14",NA,NA,""
"The Still","10/12/2013","Agawam, MA 01001","Suffield St.","","21-Aug-15",NA,NA,""
"VFW","10/12/2013","Great Barrington, MA 01230","800 Main Street, P.O. Box 357","","17-Oct-13",NA,NA,""
"Bradford's","10/13/2013","Carver, MA","Carver, MA","","13-Aug-14",NA,1,"R1872267"
"Centro Night Club","10/13/2013","Lawrence, MA 01841","60 Common Street","","29-Jan-14",NA,1,"R1350634"
"Gypsy Joynt","10/13/2013","Great Barrington MA 01230","293 Main St","","16-Jun-15",NA,NA,""
"Lost Dog","10/13/2013","Orleans, MA 02653","63 Rooute 6A","","15-Oct-13",NA,NA,""
"Max and Dylans Resturant","10/13/2013","Billerica, MA 01821","15 Middlesex Turnpike","","16-Oct-13",NA,NA,""
"Old Sturbridge Village","10/13/2013","Sturbridge, MA 01566","The Tavern","","15-Oct-13",NA,NA,""
"Royal Garden","10/13/2013","Kingston, MA 02364","Kingston, MA 02364","","07-Nov-13",NA,NA,""
"Strega Prime","10/13/2013","Woburn, MA 01801","Trade Center 128
 100 Sylvan Rd","","06-Jan-14",NA,NA,""
"Applebee's Restaurant","10/14/2013","Leominster, MA 01453","251 N.Main St.","","02-Jan-14",NA,1,"R1836505"
"Old Colony Tap, Inc","10/14/2013","Provincetown, MA 02657","323 Commercial Street","","13-Nov-13",NA,NA,""
"SAM DIEGOS","10/14/2013","UNKNOWN","UNKNOWN","","12-Nov-13",NA,NA,""
"The Seafood Shanty","10/14/2013","Edgartown, MA 02539","31 Dock Street","","03-Dec-13",NA,NA,""
"Full Sail","10/15/2013","Plymouth, MA 02360","47 Court Street","","26-Dec-13",NA,NA,""
"Partners Pub","10/15/2013","Fitchburg, MA 01420","970 South Street","","10-Nov-14",NA,NA,""
"Chicken Box","10/16/2013","Nantucket, MA 02554","6 Dave Street","","18-Mar-14",NA,1,""
"Tunnel Bar","10/16/2013","Northampton, MA 01060","Strong Avenue","","28-Oct-13",NA,NA,""
"Bishops Lounge","10/17/2013","Northampton, MA 01060","Strong Avenue","","20-Feb-14",NA,1,"R2100164"
"Cassey's","10/17/2013","Attleboro, MA 02703","220 Oneil Blvd","","18-Mar-16",NA,1,"R0535889"
"Doc's Place","10/17/2013","Chicopee, MA 01020","1264 Granby Rd","","17-Oct-13",NA,NA,""
"Fat Cat Bar & Grill","10/17/2013","Springfield, MA 01009","232 Worthington St","","27-Dec-13",NA,NA,""
"The Land Ho Restaurant","10/17/2013","Orleans, MA 02653","Rte 6A","","17-Oct-13",NA,NA,""
"Typical Sicilian","10/17/2013","Springfield, MA 01108","497 Belmont Ave","","03-Mar-15",NA,NA,""
"Home Plate","10/18/2013","Pittsfield, MA 01201","East St.","","28-Oct-13",NA,NA,""
"MIKE'S PLACE","10/18/2013","Orange, MA 01364","81 East River Street","","04-Dec-13",NA,NA,""
"Perfect Game Sports Grill & Lounge","10/18/2013","Worcester, MA 01604","64 Water Street","","10-Dec-13",NA,NA,""
"PIPER BEAUS","10/18/2013","WAREHAM, MA 02571","MAIN STREET","","06-Mar-14",NA,NA,""
"The Crease Sports Bar & Grille","10/18/2013","Walpole, MA 02081","944 Main Street","","14-Jan-15",NA,NA,""
"Bistro","10/19/2013","Sudbury Ma 01776","120 Boston Post Rd","45 Day Loss of License","04-Mar-14",NA,1,"R1176388"
"Classic's Pub","10/19/2013","Leoninster, MA 01453","285 Central St","","02-May-14",NA,NA,""
"Fired Up","10/19/2013","Westfield, MA 01085","North Elm St.","","13-Mar-14",NA,NA,""
"MONAGHAN CORP, INC HUGH O'NEILL'S","10/19/2013","MALDEN MA 02148","45 PLEASANT ST.","","12-Dec-13",NA,NA,""
"Owen O'Leary's","10/19/2013","Southborough, MA 01772","50 Turnpike Road","","22-Jan-14",NA,NA,""
"Private","10/19/2013","Private","Private","","31-Jul-14",NA,NA,""
"Private","10/19/2013","XXXX","XXXX","45 Day Loss of License","02-Sep-15",NA,NA,""
"The Red Inn and Restaurant","10/19/2013","Provincetown, MA 02657","15 Commercial Street","","15-Nov-13",NA,NA,""
"The Wharf Pub","10/19/2013","Edgartown, MA 02539","Dock and Main Streets","","12-Nov-13",NA,NA,""
"Toasted Owl","10/19/2013","Northampton, MA 01060","Main Street","","13-Nov-13",NA,NA,""
"Broad Street Pub","10/20/2013","Bridgewater, MA 02324","39 Broad Street","","12-Jan-15",NA,1,"R2256433"
"NONE","10/20/2013","NONE","NONE","","18-Dec-13",NA,NA,""
"bella villa","10/21/2013","chelsea, ma 02150","x","","24-Jan-14",NA,1,"R1942306"
"NONE","10/21/2013","NONE","NONE","","11-Dec-13",NA,NA,""
"NONE","10/21/2013","NONE","NONE","","02-Dec-13",NA,NA,""
"TKO Malley's Sports Cafe","10/22/2013","Scituate, MA 02066","194 Front Street","","04-Feb-14",NA,NA,""
"Mezze Bistro and Bar","10/23/2013","Williamstown, MA 01267","16 Water Street","","29-Oct-13",NA,NA,""
"The Rendezvous","10/23/2013","Turners Falls MA 01376","78 Third Street","","03-Dec-13",NA,NA,""
"THOMAND INC. MURPHY'S","10/23/2013","SALEM MA 01970","300 DERBY STREET","","23-Dec-13",NA,NA,""
"Double Six","10/24/2013","Holyoke, MA 01040","352 High Street","","20-Mar-14",NA,NA,""
"Newtown","10/24/2013","Cambridge Ma","Porter Square","","27-May-14",NA,NA,""
"Pepperoncini's","10/24/2013","Framingham, MA 01702","486 Concord Street","","01-Nov-13",NA,NA,""
"Red Rooster Pub","10/24/2013","Wrentham, MA 02093","510 Washington St.","","12-May-15",NA,NA,""
"WALTHAM PUBS INC JOHN BREWER'S TAVERN","10/24/2013","MALDEN MA 02148","7 HIGHLAND AVE","","29-Jan-14",NA,NA,""
"xx","10/24/2013","xx","xx","","01-Jul-14",NA,NA,""
"Fenway Park","10/25/2013","Boston,MA 02215","4 Yawkey Way","","13-Nov-13",NA,NA,""
"Tunnel Bar","10/25/2013","Northampton, MA 01060","Strong Avenue","","24-Dec-13",NA,NA,""
"360 Grill","10/26/2013","Springfield, MA","350 Worthington Street","","01-Nov-13",NA,1,"R1684514"
"Blackstone Tavern","10/26/2013","MA","Worcester","","15-Nov-13",NA,1,"R0587394"
"CBS Scene","10/26/2013","Foxboro, Ma 02035","200 Patriot Place","","22-Nov-13",NA,1,"R1173787"
"Club Casino","10/26/2013","Hampton Beach, NH 03842","169 Ocean Blvd","","03-Dec-13",NA,NA,""
"Fitzwilly's Bar and Grill","10/26/2013","Northampton, MA","Main Street","","09-Dec-13",NA,NA,""
"Gardner Ale House","10/26/2013","Gardner, MA 01440","74 Parker Street","","27-Jun-14",NA,NA,""
"Guanachapi's Bar and Grill","10/26/2013","Waltham Ma 02452","154 River St","","09-Jun-14",NA,NA,""
"Knights of Columbus","10/26/2013","Salem, Ma. 01923","94 Washington St.","","04-Sep-14",NA,NA,""
"NONE","10/26/2013","NONE","NONE","","09-Dec-13",NA,NA,""
"STEEL PUB","10/26/2013","Athol, MA 01331","Exchange Street","","11-Feb-14",NA,NA,""
"The Brass Tap","10/26/2013","Chicopee, MA","Chestnut Street","","28-Oct-13",NA,NA,""
"The Pickled Onion","10/26/2013","Beverly, MA","Rantoul St","","15-Nov-13",NA,NA,""
"The Tap Room","10/26/2013","Wilbraham, MA 01095","2823 Boston Rd","","30-Dec-14",NA,NA,""
"Route 56 Bar & Grill","10/27/2013","Oxford, MA 01540","Route 56","","28-Oct-13",NA,NA,""
"T.J's Spirits","10/27/2013","Ashland, MA 01721","355 W Union Street","","09-Dec-13",NA,NA,""
"Taylor's Tavern","10/27/2013","Greenfield MA 01301","238 Main Street","","11-Dec-13",NA,NA,""
"Venu","10/27/2013","Boston MA 02116","100 Warrenton St","","23-Jun-15",NA,NA,""
"Rumor","10/30/2013","Boston, MA 02116","100 Warrenton St","","27-May-15",NA,NA,""
"Cobblestones","10/31/2013","Lowell, MA 01852","91 Dutton Street","","01-Nov-13",NA,NA,""
"Duke's Pub And Grill","10/31/2013","Tyngsboro Ma 01879","147 Frost Rd","","07-Aug-14",NA,NA,""
"Engine House","10/31/2013","Salem, MA 01970","71 Lafayette Street","","09-Apr-14",NA,NA,""
"NONE","10/31/2013","NONE","NONE","","27-May-14",NA,NA,""
"Sylvan Street Grill","10/31/2013","Danvers, MA 01923","Sylvan Street","","12-Nov-13",NA,NA,""
"American Legion","11/1/2013","Plymouth, MA 02360","Federal Furnace Rd","","29-Sep-15",NA,1,"M9322358"
"Bishop's Lounge","11/1/2013","Northampton, MA 01060","41 Strong Avenue","","13-Dec-13",NA,1,"R1103486"
"BluePrint New American Bar and Grill","11/1/2013","Westminster, MA. 01473","9 Village Sq","","10-Jan-14",NA,1,"R1900676"
"House Of Blues","11/1/2013","Boston, Ma 02215","15 Landsdown Street","","10-Sep-14",NA,NA,""
"Major MacGleashes","11/1/2013","Salem, MA 01970","Mill Street","","24-Dec-13",NA,NA,""
"Ming Dynasty","11/1/2013","Marshfield, MA 02050","Rte 139","","13-Jan-14",NA,NA,""
"Rockingham Party","11/1/2013","New Hampshire","","","10-Dec-13",NA,NA,""
"Seadog Brew Pub","11/1/2013","Nantucket, MA 02554","15 South Water Street","","11-Feb-14",NA,NA,""
"THE DELANEY HOUSE","11/1/2013","HOLYOKE, MA 01040","3 COUNTY CLUB ROAD","","08-Jan-14",NA,NA,""
"The Iron Horse","11/1/2013","Fitchburg Ma 01420","Airport Road","","30-Mar-15",NA,NA,""
"Alex's","11/2/2013","Stoughton,MA 02072","584 Washington St","","23-Dec-13",NA,1,""
"Cindy's Bar","11/2/2013","Palmer, MA 01069","1618 North Main St","","06-Nov-13",NA,1,"R2602890"
"Fleet Center Boston","11/2/2013","Boston, MA 02114","1 Union Street","","20-Dec-13",NA,NA,""
"Foundry","11/2/2013","Somerville, MA 02144","255 Elm Street","","20-Dec-13",NA,NA,""
"Margaritta's","11/2/2013","Medford, MA 02155","75 Station Landing","","06-May-14",NA,NA,""
"Radio Bar","11/2/2013","Somerville","xxxx","","18-Nov-13",NA,NA,""
"Roadhouse 56","11/2/2013","Oxford, MA 01537","24 Leicester Street","","04-Nov-13",NA,NA,""
"The Lost Dog","11/2/2013","Orleans, MA 02653","63 Route 6A","","07-Feb-14",NA,NA,""
"The Port Tavern","11/2/2013","Newburyport, MA 01950","State Street","","04-Nov-13",NA,NA,""
"FINN'S PUB","11/3/2013","LOWELL, MA. 01852","76 MERRIMACK STREET","","03-Nov-14",NA,NA,""
"Monkey Bar","11/3/2013","Amherst, MA 01002","63 North Pleasant Street","","28-Feb-14",NA,NA,""
"PONDEROSA","11/3/2013","ACUSHNET/ROCHESTER","UNKNOWN","","06-Nov-13",NA,NA,""
"Private","11/3/2013","Private","Private","","11-Sep-14",NA,NA,""
"The Greatest Bar","11/3/2013","Boston, MA 02114","262 Friend Street","","27-Feb-14",NA,NA,""
"The Lost Dog","11/3/2013","Orleans, MA 02653","63 Route 6A","","04-Nov-13",NA,NA,""
"Dylan's","11/4/2013","Boston, MA 02115","955 Boylston St.","","01-Dec-14",NA,NA,""
"Hideaway","11/4/2013","Middleboro, MA 02346","Wareham St.","","16-Apr-14",NA,NA,""
"Joshua Tree","11/4/2013","Somerville, MA","","","11-Dec-13",NA,NA,""
"Tavern on The Hill","11/4/2013","Somerville, Ma.","","","24-Jun-14",NA,NA,""
"THE FAN CLUB","11/4/2013","WAREHAM, MA 02571","CRANBERRY HIGHWAY","","15-Nov-13",NA,NA,""
"FRESH SIDE EATERY TEAS & BAR","11/5/2013","Amherst, MA 01002","39 South Pleasant Street","","14-Nov-13",NA,NA,""
"The Lasting Room","11/5/2013","Haverhill, MA 01831","Washington Street","","02-Dec-13",NA,NA,""
"The Turtle Tavernn","11/5/2013","Milford, MA 01757","Main Street","","06-Dec-13",NA,NA,""
"Naumkaeg","11/6/2013","Salem, MA 01970","118 Washington Street","","08-Nov-13",NA,NA,""
"NONE","11/6/2013","NONE","NONE","","31-Mar-14",NA,NA,""
"The Still","11/6/2013","Agawam, MA 01001","858 Suffield St.","","11-Apr-14",NA,NA,""
"Cindy's Sports Bar","11/7/2013","Palmer, MA 01069","1618 N Main St","","24-Sep-15",NA,1,"R1593548"
"FAN CLUB","11/7/2013","WAREHAM,MA 02571","RT 28","","17-Jun-14",NA,NA,""
"FIRST PRINTER","11/7/2013","CAMBRIDGE, MA 02138","15 DUNSTER STREET","","13-Jan-14",NA,NA,""
"Happy Garden","11/7/2013","Oxford, Mass. 01540","211 Main Street","","28-Feb-14",NA,NA,""
"Pearl Street NightClub","11/7/2013","Northampton, MA 01060","Pearl Street","","28-Feb-14",NA,NA,""
"Barry's Place","11/8/2013","Mendon, MA 01756","35 Hastings Street","","07-Aug-14",NA,1,"R1812195"
"MARGARITA'S","11/8/2013","Framingham MA 01701","725 Cochituate Rd","","16-Dec-13",NA,NA,""
"McMurphy's Uptown Tavern","11/8/2013","Amherst, MA 01002","37 North Pleasant Street","","13-Dec-13",NA,NA,""
"NONE","11/8/2013","NONE","NONE","","11-Feb-14",NA,NA,""
"SHOOTERS","11/8/2013","MIDDLEBORO, MA 02346","RTE 28","","17-Jan-14",NA,NA,""
"VICKING PUB","11/8/2013","ADAMS, MA 01220","COMMERCIAL STREET","","11-Dec-14",NA,NA,""
"Cafe Destare","11/9/2013","Fitchburg, MA 01420","320 Main Street","","13-Feb-14",NA,1,"R1978849"
"Chooch's","11/9/2013","North Brookfield, MA. 01535","31 Brookfield Rd","","09-Apr-14",NA,1,"R2312554"
"Desperados","11/9/2013","North Adams, MA 01247","23 Eagle Street","","17-Dec-13",NA,NA,""
"Hong Kong Cafe","11/9/2013","Fitchburg, MA 01420","310 Main Street","","28-Feb-14",NA,NA,""
"Johnny D's Uptown Lounge","11/9/2013","Somerville, MA 02144","017-27 Holland Street","","11-Dec-13",NA,NA,""
"Kitty's Restaurant & Lounge","11/9/2013","North Reading, MA 01864","123 Main Street","","13-Nov-13",NA,NA,""
"Mick Morgans Irish Pub & Restaurant","11/9/2013","Sharon, MA 02067","973 Providence Hwy","","29-Nov-13",NA,NA,""
"Ninety-Nine Restaurant","11/9/2013","Greenfield, MA 01301","17 Colrain Road","","16-Jul-14",NA,NA,""
"Pasquale's","11/9/2013","E. Longmeadow, MA 01028","642 N Main St","","13-Nov-13",NA,NA,""
"Private","11/9/2013","xxxx","xxxx","45 Day Loss of License","12-Nov-15",NA,NA,""
"Stackers Pub","11/9/2013","Amherst, MA 01002","57 North Pleasant Street","","13-Dec-13",NA,NA,""
"THE WAVE","11/9/2013","MARION, MA 02738","ROUTE 6","","03-Apr-14",NA,NA,""
"The Worthen","11/9/2013","Lowell, MA 01852","Worthen Ave","","08-Jul-14",NA,NA,""
"Village Smokehouse","11/9/2013","Lowell Ma 01852","98 Middle St","","02-Jun-14",NA,NA,""
"Amy's Place","11/10/2013","Easthampton, MA 01027","Cottage Street","","13-Nov-13",NA,1,"R1391240"
"CBS Scene Sports Bar","11/10/2013","Foxboro, Ma. 02035","200 Patriots Place","","06-Aug-14",NA,1,"R1951513"
"La Cava","11/10/2013","Lawrence, MA 01841","22 Union Street","","29-Jan-14",NA,NA,""
"Michael's Restaurant","11/10/2013","Plymouth, MA","Court Street","","20-Feb-14",NA,NA,""
"MV Chowder Company","11/10/2013","Oak Bluffs, MA 02557","9 Oak Bluffs Avenue","","25-Nov-13",NA,NA,""
"Naga Night Club","11/10/2013","Cambridge,MA 02139","450 Massachusetts Ave","","05-Mar-14",NA,NA,""
"RESERVATION GOLF COURSE","11/10/2013","MATTAPOISETT, MA","UNKNOWN","","28-Mar-14",NA,NA,""
"RUMORS","11/10/2013","Worcester, MA","271 Park Avenue","","14-Nov-13",NA,NA,""
"South Shore Sports Center","11/10/2013","Hingham, MA 02043","55 Recreation Park Drive","","13-Nov-15",NA,NA,""
"T- Bones","11/10/2013","Plymouth, MA 02360","Court Street","","06-Dec-13",NA,NA,""
"DocKside","11/11/2013","Wakefleld, MA","XXX","","23-Jan-14",NA,NA,""
"Liz's Diamond Grill","11/11/2013","Hopedale, MA 01747","Airport Drive","","16-Oct-14",NA,NA,""
"RED HAT","11/11/2013","BOSTON MA","9 BOUDIN STREET","","25-Nov-14",NA,NA,""
"FUSION TASTE","11/12/2013","STONEHAM, MA. 02180","19 FRANKLIN STREET","","29-Sep-15",NA,NA,""
"Galway Bay","11/12/2013","Worcester, MA 01603","186 Stafford St.","","15-Sep-14",NA,NA,""
"House of Blues","11/13/2013","Boston, MA","15 Lansdowne Street","","25-Nov-13",NA,NA,""
"Pete's Bar and Grille","11/13/2013","Quincy, MA 02169","540 South Street","","23-Jan-14",NA,NA,""
"private residence","11/13/2013","xxx","xxx","45 day loss of license","27-Mar-14",NA,NA,""
"Smokey Bones","11/13/2013","Tyngsboro, MA 01879","431 Middlesex Rd.","","08-Jan-14",NA,NA,""
"dali restaurant","11/14/2013","somerville, ma","unknown","","17-Nov-14",NA,NA,""
"Mama Maria's","11/14/2013","Boston, MA","","","31-Dec-13",NA,NA,""
"Oxford Tavern","11/14/2013","Oxford, MA 01540","314 Main Street","","22-May-14",NA,NA,""
"Tang Dynasty","11/14/2013","Leominster, Ma.","638 N. Main","","04-Feb-14",NA,NA,""
"Applebees Restaraunt","11/15/2013","Haverhill,Ma 01830","56 Plaistow Road","","18-Dec-13",NA,1,"M7439635"
"Countryside","11/15/2013","Warren, MA 01083","83 Mechanic Street","","14-Jan-14",NA,NA,""
"Krueger Flatbread","11/15/2013","Haverhill, MA01831","142 Essex Street","","03-Feb-14",NA,NA,""
"La-Terresa","11/15/2013","East Boston, Ma. 02128","14 Bennington St","","19-Nov-13",NA,NA,""
"TGI Friday's","11/15/2013","Seekonk, MA 02771","1105 Fall River Ave.","","27-Jan-14",NA,NA,""
"Anthony's","11/16/2013","South Hadley, MA 01075","500 New Ludlow Road","","06-Dec-13",NA,1,"R0504147"
"Bull Pen","11/16/2013","New Bedford, MA","unknown","","10-Dec-13",NA,1,"M2689858"
"Crossoads Sportsbar","11/16/2013","Palmer, MA. 01069","1701 Park Street","","14-Apr-14",NA,NA,""
"Garrison's","11/16/2013","Billerica, Ma 01821","303 Boston Road","","10-Oct-14",NA,NA,""
"HAYES-MENINNO LLC Rolly's Tavern on the Square","11/16/2013","LYNN MA 01904","338 BROADWAY","","14-May-14",NA,NA,""
"Punters Pub","11/16/2013","Boston, MA","450 Huntington Ave.","","30-Dec-13",NA,NA,""
"RCEES PUB","11/16/2013","Orange, MA 01364","South Main Street","","16-Apr-14",NA,NA,""
"Samba Steak House & Sushi","11/16/2013","Framingham, MA 01701","1138 Worcester Road","","21-Nov-13",NA,NA,""
"Sharky's Cantina","11/16/2013","Oak Bluffs, MA 02557","31 Circuit Ave","","20-Dec-13",NA,NA,""
"Clark's at Faneuil Hall","11/17/2013","Boston MA 02109","21 Merchant's Row","","18-Nov-13",NA,1,"R2404913"
"Dreamland MV","11/17/2013","Oak Bluffs, MA 02557","9 Oak Bluffs Ave","","20-Dec-13",NA,NA,""
"Flann O'Briens","11/17/2013","Roxbury Crossing, MA 02120","1619 Tremont St.","","15-Apr-14",NA,NA,""
"Food 101","11/17/2013","South Hadley, MA 01075","19 College Street","","24-Mar-14",NA,NA,""
"Maple Leaf Inn","11/17/2013","Westfield MA 01085","Arnold St","","28-Jan-14",NA,NA,""
"Ned Devines","11/17/2013","Boston, MA","1 N Market St.","","22-Nov-13",NA,NA,""
"PADDYS IRISH PUB","11/17/2013","SPRINGFIELD MA 01109","1060 WILBRAHAM ROAD","","18-Dec-13",NA,NA,""
"Private","11/17/2013","Private","Private","","06-Jun-14",NA,NA,""
"private home","11/17/2013","xxx","xxx","45 day loss of license","27-Mar-14",NA,NA,""
"Private Res","11/17/2013","xxxx","xxxx","","13-May-14",NA,NA,""
"Smokey Bones","11/17/2013","Tyngsboro, MA 01879","431 Middlesex Road","","30-Jul-14",NA,NA,""
"Statz Restaurant and Lounge","11/17/2013","North Brookfield, MA 01535","341 N Main Street","","18-Nov-13",NA,NA,""
"Charlie's Kitchen","11/18/2013","Cambridge, MA 02138","10 Eliot St.","","10-Mar-14",NA,1,"R0612151"
"Sully's First Edition Pub","11/18/2013","Marlboro, MA 01752","11B Florence Street","","05-Sep-14",NA,NA,""
"Private Res.","11/19/2013","xxxx","xxxx","2 Year Loss Of License","31-Jul-14",NA,NA,""
"Private Residence","11/19/2013","xxx","xxx","","31-Dec-13",NA,NA,""
"St. Stanislaus Polish Club","11/19/2013","Three Rivers, MA 01080","2114 Main St","","20-Nov-13",NA,NA,""
"Abigails","11/20/2013","Cambridge Ma 02142","291 3rd St","","04-Dec-13",NA,1,"R1104819"
"Archies","11/20/2013","Haverhill,Ma 01830","46 Washington Street","","19-Dec-13",NA,1,"R1250897"
"Grandville Pub","11/20/2013","Spencer, MA. 01562","40 Chestnut Street","","27-Jan-14",NA,NA,""
"Maui","11/20/2013","Brockton, MA 02301","1875 Main Street","","09-Apr-14",NA,NA,""
"Not Your Average Joe's","11/20/2013","Acton, MA 01720","Main St","","17-Jun-14",NA,NA,""
"Cassey's","11/21/2013","Attleboro, MA 02703","220 O'Niel BLVD","","26-Dec-13",NA,1,"R1076715"
"Angelica's","11/22/2013","Middleton, MA 01949","49 S. Main Street","","06-Nov-14",NA,1,"R1446109"
"Claddagh Bar","11/22/2013","Lawrence, MA 01840","399 Canal Street","","25-Nov-13",NA,1,"M9698716"
"dbar","11/22/2013","Dochester, MA 02125","1236 Dorchester Avenue","","02-May-14",NA,NA,""
"Lookout Tavern, Inc","11/22/2013","Oak Bluffs, MA 02557","8 Seaview Ave","","16-Dec-13",NA,NA,""
"Pot Belly Pub","11/22/2013","Millville, MA","Route 122","","10-Dec-13",NA,NA,""
"SKIPJACKS","11/22/2013","FOXBORO MA 02035","226 PATRIOT PLACE","","16-Dec-13",NA,NA,""
"THE FAT CAT BAR & GRILL","11/22/2013","SPRINGFIELD, MA. 01103","222-34 WORTHINGTON ST.","","25-Nov-13",NA,NA,""
"The Lost Dog","11/22/2013","Orleans, MA 02653","63 Route 6A","","05-Dec-13",NA,NA,""
"Back Nine","11/23/2013","Pittsfield, MA 01201","Crane Ave","","13-Feb-14",NA,1,"R1397883"
"British Beer Co.","11/23/2013","Framingham, MA 01702","120 Worcester Rd","","25-Mar-14",NA,1,"R2069550"
"MARDI GRAS","11/23/2013","SPRINGFIELD, MA. 01103","87 TAYLOR ST.","","25-Nov-13",NA,NA,""
"MINGLES","11/23/2013","W. SPRINGFIELD, MA. 01089","1547 RIVERDALE ST.","","25-Nov-13",NA,NA,""
"Peter Pan","11/23/2013","Easthampton, MA 01027","Pleasant Street","","26-Mar-14",NA,NA,""
"The Lost Dog","11/23/2013","Orelans, MA 02653","63 Route 6A","","25-Nov-13",NA,NA,""
"Two Ovens Restaurant Corp.","11/23/2013","Shrewsbury, Ma. 01545","84 Boston Turnpike","","06-Aug-14",NA,NA,""
"Ye Ole Watering Hole","11/23/2013","Northampton, MA 01060","Pleasant Street","","30-Dec-13",NA,NA,""
"Alba Restaurant","11/24/2013","Quincy, MA 02169","1486 Hancock Street","","21-May-15",NA,1,"M9183940"
"Cabaret Lounge","11/24/2013","Peabody, MA 01960","96 Newbury Street","","30-Dec-13",NA,1,"R1918337"
"Gillette Stadium","11/24/2013","Foxboro, MA 02035","1 Patriot Place","","02-Jan-14",NA,NA,""
"King's","11/24/2013","Lynnfield, MA 01940","600 Market Place","","20-Oct-14",NA,NA,""
"Mahoney's Atlantic Bar and Grill","11/24/2013","Orleans, MA 02653","28 Main STreet","","25-Nov-13",NA,NA,""
