leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
1303600,MCINTOSH COUNTY,GA,GA,.2679,.032,,,.98779613
1303630,MERIWETHER COUNTY,GA,GA,.4322,.0211,,,.99226826
1303660,MILLER COUNTY,GA,GA,.6265,.0428,,,.98609185
1303690,MITCHELL COUNTY,GA,GA,.4728,.0451,,,.99100566
1303720,MONROE COUNTY,GA,GA,.6024000000000001,.0209,,,.98884863
1303750,MONTGOMERY COUNTY,GA,GA,.3892,.0442,,,.98736119
1303780,MORGAN COUNTY,GA,GA,.8711,.0236,,,.9924913
1303840,MURRAY COUNTY,GA,GA,,,.086,.0199,.98814964
1303870,MUSCOGEE COUNTY,GA,GA,.6705,.0094,.3427,.0148,.98663437
1303930,NEWTON COUNTY,GA,GA,.3972,.0103,.2605,.0182,.98836911
1303960,OCONEE COUNTY,GA,GA,.7487,.0484,.6478,.0379,.99087179
1303990,OGLETHORPE COUNTY,GA,GA,.7808000000000001,.0331,,,.9901492
1304020,PAULDING COUNTY,GA,GA,.3167,.0093,.1421,.0149,.9884513
1304050,PEACH COUNTY,GA,GA,.6191,.0211,.1924,.0304,.98801684
1304080,PELHAM CITY,GA,GA,.447,.0324,,,.9885515
1304110,PICKENS COUNTY,GA,GA,,,-.1503,.4133,.99016702
1304140,PIERCE COUNTY,GA,GA,.5761,.0365,.2022,.1548,.99198228
1304170,PIKE COUNTY,GA,GA,.5521,.0465,,,.99328572
1304200,POLK COUNTY,GA,GA,.4629,.0192,.1893,.0222,.98559654
1304220,PULASKI COUNTY,GA,GA,.7101,.0343,,,.98512906
1304260,PUTNAM COUNTY,GA,GA,.4519,.0243,-.035,.1003,.99038321
1304320,RABUN COUNTY,GA,GA,,,.3834,.0462,.99140644
1304380,RICHMOND COUNTY,GA,GA,.4355,.0115,.1244,.0197,.98876733
1304410,ROCKDALE COUNTY,GA,GA,.3299,.0152,.4008,.0179,.98894429
1304440,ROME CITY,GA,GA,.8462,.0262,.6798,.0232,.98629767
1304470,SCHLEY COUNTY,GA,GA,.9693000000000001,.1401,,,.99005425
1304500,SCREVEN COUNTY,GA,GA,.6807,.0241,,,.9939326
1304530,SEMINOLE COUNTY,GA,GA,.7271,.0312,,,.99008375
1304540,SOCIAL CIRCLE CITY,GA,GA,.6088,.0341,,,.98943025
1304560,STEPHENS COUNTY,GA,GA,.6793,.0367,.5921,.2542,.99137026
1304620,SUMTER COUNTY,GA,GA,.4937,.0248,.202,.0467,.99450028
1304770,TATTNALL COUNTY,GA,GA,.5615,.0228,.3667,.0255,.98436981
1304800,TAYLOR COUNTY,GA,GA,.6226,.0301,,,.99082547
1304830,TELFAIR COUNTY,GA,GA,.7032000000000001,.028,,,.99412173
1304890,THOMAS COUNTY,GA,GA,.6501,.0169,.5266,.145,.99204212
1304950,THOMASVILLE CITY,GA,GA,1.1702,.0383,,,.99042833
1304980,TIFT COUNTY,GA,GA,.8006,.0147,.515,.0186,.98872179
1305040,TOOMBS COUNTY,GA,GA,.4349,.0363,.2488,.0247,.98676819
1305100,TREUTLEN COUNTY,GA,GA,.5520000000000001,.0353,,,.98761952
1305190,TURNER COUNTY,GA,GA,.4647,.0307,,,.98853117
1305220,TWIGGS COUNTY,GA,GA,.2275,.0494,,,.98797297
1305280,THOMASTON-UPSON COUNTY,GA,GA,.4353,.0177,,,.99326867
1305310,VALDOSTA CITY,GA,GA,.8653,.021,.4573,.0718,.9912473
1305340,VIDALIA CITY,GA,GA,1.0043,.0257,,,.99172533
1305370,WALKER COUNTY,GA,GA,.4609,.0279,.1924,.0969,.98986167
1305390,WALTON COUNTY,GA,GA,.5087,.0125,.2728,.0236,.98858279
1305430,WARE COUNTY,GA,GA,.5307,.017,.333,.0467,.98556745
1305490,WASHINGTON COUNTY,GA,GA,.5856,.0226,,,.99455184
1305550,WAYNE COUNTY,GA,GA,.6122,.0212,.3424,.0375,.98807561
1305640,WHEELER COUNTY,GA,GA,.518,.0481,,,.98668385
1305700,WHITFIELD COUNTY,GA,GA,.2852,.0688,.2758,.0104,.98776776
1305730,WILCOX COUNTY,GA,GA,.6818,.0355,,,.98785681
1305760,WILKES COUNTY,GA,GA,.3874,.0405,,,.98936403
1305790,WILKINSON COUNTY,GA,GA,.4115,.0312,,,.98872131
1305850,WORTH COUNTY,GA,GA,.5698,.021,,,.99242741
1500030,HAWAII DEPARTMENT OF EDUCATION,HI,HI,.4313,.0083,.4351,.0088,1
1600030,ABERDEEN DISTRICT,ID,ID,,,.7414,.0468,1
1600060,AMERICAN FALLS JOINT DISTRICT,ID,ID,,,.7419,.0313,.99939132
1600270,BLACKFOOT DISTRICT,ID,ID,,,.7906,.0201,.99938321
1600300,BLAINE COUNTY DISTRICT,ID,ID,,,1.0231,.0222,.99806309
1600360,BOISE INDEPENDENT DISTRICT,ID,ID,1.0361,.0302,.7482,.0112,.99697077
1600480,BUHL JOINT DISTRICT,ID,ID,,,.6928,.0322,1
1600510,CALDWELL DISTRICT,ID,ID,,,.5520000000000001,.0142,.99663234
1600600,VALLIVUE SCHOOL DISTRICT,ID,ID,,,.6857,.0144,.99855012
1600660,CASSIA COUNTY JOINT DISTRICT,ID,ID,,,.7867,.0163,.9967919
1600780,COEUR D ALENE DISTRICT,ID,ID,,,.286,.0298,.99825329
1600930,BONNEVILLE JOINT DISTRICT,ID,ID,,,.7382,.0158,.9958511
1600960,PRESTON JOINT DISTRICT,ID,ID,,,.767,.1429,.99684381
1601020,EMMETT INDEPENDENT DIST,ID,ID,,,.5351,.032,.99974865
1601050,FILER DISTRICT,ID,ID,,,.4863,.0903,.9994126
1601110,FREMONT COUNTY JOINT DISTRICT,ID,ID,,,.8038,.0287,.99938881
1601140,FRUITLAND DISTRICT,ID,ID,,,.6387000000000001,.0339,.99797654
1601260,GOODING JOINT DISTRICT,ID,ID,,,.6618000000000001,.0368,.99965984
1601470,HOMEDALE JOINT DISTRICT,ID,ID,,,.6406,.0349,.9981634
1601530,IDAHO FALLS DISTRICT,ID,ID,,,.7691,.0151,.99924713
1601570,JEFFERSON COUNTY JT DISTRICT,ID,ID,,,.897,.0265,.99734449
1601590,JEROME JOINT DISTRICT,ID,ID,,,.5989,.0186,.99969292
1601770,KUNA JOINT DISTRICT,ID,ID,,,.5662,.0278,.99823034
1601860,LEWISTON INDEPENDENT DISTRICT,ID,ID,,,.224,.0759,.99216402
1601920,MADISON DISTRICT,ID,ID,,,.8712,.0426,.99923587
